Artist Name,Content Name,Feature Name,Event Start Timestamp,Genre
Wanda Jackson,Thunder On the Mountain,for_you / artist_playlist / playlist_detail,2019-04-16 18:03:57.234000+00:00,Rock
The Hentchmen,Psycho Daisies,for_you / artist_playlist / playlist_detail,2019-04-16 18:10:10.303000+00:00,Alternative
The Dead Weather,Hang You from the Heavens,for_you / artist_playlist / playlist_detail,2019-04-16 18:10:12.415000+00:00,Rock
"Daniele Luppi, Danger Mouse",Two Against One (feat. Jack White),for_you / artist_playlist / playlist_detail,2019-04-16 18:10:13.770000+00:00,Alternative
Electric Six,Danger! High Voltage (Soulchild Radio Mix),for_you / artist_playlist / playlist_detail,2019-04-16 18:10:19.055000+00:00,Alternative
Pearl Jam,World Wide Suicide,for_you / days_playlist / playlist_detail,2019-04-17 05:50:53.942000+00:00,Alternative
The Killers,Somebody Told Me,for_you / days_playlist / playlist_detail,2019-04-17 05:51:31.962000+00:00,Rock
Weezer,Hash Pipe,for_you / days_playlist / playlist_detail,2019-04-17 05:53:44.567000+00:00,Rock
Arctic Monkeys,I Bet You Look Good on the Dancefloor,for_you / days_playlist / playlist_detail,2019-04-17 05:56:54.823000+00:00,Alternative
Paramore,Misery Business,for_you / days_playlist / playlist_detail,2019-04-17 05:57:56.368000+00:00,Alternative
The Black Keys,Girl Is on My Mind,for_you / days_playlist / playlist_detail,2019-04-17 05:58:17.820000+00:00,Alternative
Red Hot Chili Peppers,By the Way,for_you / days_playlist / playlist_detail,2019-04-17 05:59:05.980000+00:00,Alternative
The Raconteurs,Steady As She Goes,for_you / days_playlist / playlist_detail,2019-04-17 06:08:58.510000+00:00,Alternative
Foo Fighters,The Pretender,for_you / days_playlist / playlist_detail,2019-04-17 06:12:33.430000+00:00,Alternative
LINKIN PARK,Breaking the Habit,for_you / days_playlist / playlist_detail,2019-04-17 06:13:30.562000+00:00,Hard Rock
P.O.D.,Youth of the Nation,for_you / days_playlist / playlist_detail,2019-04-17 08:04:42.196000+00:00,Hard Rock
"LINKIN PARK, JAY-Z",Numb / Encore,for_you / playlist_detail / artist_detail,2019-04-17 08:13:26.049000+00:00,Hard Rock
lofi,Chillin in my House,search / album_detail,2019-04-17 12:14:30.665000+00:00,Hip Hop/Rap
LoFi Hip Hop,Late Night Study Beat,search / album_detail / artist_detail / artist_detail,2019-04-17 12:52:12.434000+00:00,Hip Hop/Rap
PUP,Dvp,library / album_detail,2019-04-17 13:36:01.983000+00:00,Alternative
Led Zeppelin,Stairway to Heaven,search / artist_detail / artist_detail,2019-04-19 13:56:29.754000+00:00,Rock
The Who,Baba O'Riley,search / artist_detail / artist_detail / artist_detail,2019-04-19 14:33:08.253000+00:00,Rock
Cream,White Room,search / artist_detail / artist_detail / artist_detail / artist_detail,2019-04-19 16:25:34.261000+00:00,Rock
The Jimi Hendrix Experience,All Along the Watchtower,search / artist_detail / artist_detail / artist_detail / artist_detail / artist_detail,2019-04-19 18:33:02.595000+00:00,Rock
Gus Dapperton,My Favorite Fish,search / artist_detail / artist_see_all,2019-04-19 19:03:34.430000+00:00,Indie Pop
Billie Eilish,bad guy,browse / browse / top_charts,2019-04-20 11:30:00.190000+00:00,Alternative
Catfish and the Bottlemen,Longshot,for_you / days_playlist / playlist_detail,2019-04-20 11:32:21.820000+00:00,Alternative
Ty Segall,Every 1's a Winner,for_you / days_playlist / playlist_detail,2019-04-20 11:32:37.503000+00:00,Alternative
The Tracks,Hanging On,for_you / days_playlist / playlist_detail,2019-04-20 11:36:54.259000+00:00,Rock
Queens of the Stone Age,The Way You Used to Do,for_you / days_playlist / playlist_detail,2019-04-20 11:37:25.619000+00:00,Rock
Буерак,Постиронично,search / artist_detail / album_detail,2019-04-20 11:37:54.337000+00:00,Pop
Junior Wells' Chicago Blues Band,Ships On the Ocean,radio / grouping,2019-04-20 20:22:58.159000+00:00,Blues
MorMor,Outside,radio / grouping,2019-04-20 20:23:11.120000+00:00,Alternative
Superorganism,Everybody Wants to Be Famous,radio / grouping,2019-04-20 20:27:09.188000+00:00,Alternative
Weyes Blood,Movies,radio / grouping,2019-04-20 20:28:08.197000+00:00,Alternative
Soft Glas,Noon,radio / grouping,2019-04-20 20:33:21.331000+00:00,Pop
Alvvays,Dreams Tonite,radio / grouping,2019-04-20 20:33:26.081000+00:00,Alternative
Steve Lacy,N Side,radio / grouping,2019-04-20 20:36:43.058000+00:00,R&B/Soul
Кино,Хочу перемен,search / artist_detail,2019-04-21 13:38:26.791000+00:00,Rock
"Cage the Elephant, Beck",Night Running,for_you / playlist_detail / artist_detail,2019-04-21 14:22:10.458000+00:00,Alternative
Joy Division,Isolation,for_you / days_playlist / playlist_detail,2019-04-21 17:08:59.553000+00:00,Alternative
The Cure,Pictures of You,for_you / days_playlist / playlist_detail,2019-04-21 17:11:15.139000+00:00,Alternative
Fog Lake,Stars,search / playlist_detail,2019-04-22 19:04:54.109000+00:00,Rock
Cigarettes After Sex,Starry Eyes,search / playlist_detail,2019-04-22 19:04:56.963000+00:00,Alternative
DIIV,Under the Sun,search / artist_detail,2019-04-22 19:06:27.886000+00:00,Indie Rock
гасп,Герберы,search / artist_detail / artist_see_all,2019-04-23 06:17:53.346000+00:00,Alternative
Deaton Chris Anthony,1999 She,for_you / days_playlist / playlist_detail,2019-04-23 19:04:02.409000+00:00,Alternative
Vampire Weekend,Sunflower (feat. Steve Lacy),for_you / days_playlist / playlist_detail,2019-04-23 19:06:50.369000+00:00,Alternative
black midi,Crow's Perch,for_you / days_playlist / playlist_detail,2019-04-24 04:46:04.817000+00:00,Alternative
Yves Tumor,Lifetime,for_you / days_playlist / playlist_detail,2019-04-24 05:25:24.825000+00:00,Alternative
Indigo De Souza,How I Get Myself Killed,for_you / days_playlist / playlist_detail,2019-04-24 08:30:43.854000+00:00,Indie Rock
Crumb,Part III,for_you / recently_played / playlist_detail,2019-04-24 15:20:59.712000+00:00,Indie Rock
Aldous Harding,Fixture Picture,for_you / recently_played / playlist_detail,2019-04-24 15:24:42.636000+00:00,Alternative
Courtney Barnett,Everybody Here Hates You,for_you / recently_played / playlist_detail,2019-04-24 15:28:50.196000+00:00,Indie Rock
SASAMI,Free (feat. Devendra Banhart),for_you / recently_played / playlist_detail,2019-04-24 15:37:08.508000+00:00,Alternative
Nilüfer Yanya,Baby Blu,for_you / recently_played / playlist_detail,2019-04-24 15:47:32.549000+00:00,Alternative
Alfie Templeman,Stop Thinking (About Me),for_you / recently_played / playlist_detail,2019-04-24 15:52:13.652000+00:00,Alternative
Barrie,Clovers,for_you / recently_played / playlist_detail,2019-04-24 17:10:49.138000+00:00,Indie Pop
Claud,If I Were You,for_you / recently_played / playlist_detail,2019-04-24 17:10:51.427000+00:00,Alternative
girl in red,i need to be alone.,for_you / recently_played / playlist_detail,2019-04-24 17:11:03.119000+00:00,Alternative
Omar Apollo,Ashamed,for_you / recently_played / playlist_detail,2019-04-24 17:13:59.207000+00:00,Alternative
Still Woozy,Lava,for_you / recently_played / playlist_detail,2019-04-24 17:14:10.393000+00:00,R&B/Soul
Solange,Binz,for_you / recently_played / playlist_detail,2019-04-24 17:14:44.903000+00:00,R&B/Soul
Georgia,Started Out,for_you / recently_played / playlist_detail,2019-04-24 17:14:46.794000+00:00,Alternative
Tierra Whack,Only Child,for_you / recently_played / playlist_detail,2019-04-24 17:14:59.234000+00:00,Hip Hop/Rap
Rex Orange County,New House,for_you / recently_played / playlist_detail,2019-04-24 17:15:06.204000+00:00,Alternative
Pottery,The Craft,for_you / recently_played / playlist_detail,2019-04-24 17:15:08.725000+00:00,Alternative
CHAI,Choose Go!,for_you / recently_played / playlist_detail,2019-04-24 17:15:58.987000+00:00,Alternative
